Video,Frame,SIM,CC,NSS,Recall,Area_Pct
167109050-0_720.mp4,590,0.2149,0.1344,0.4307,0.1963,0.0698
167669029-0_613.mp4,0,0.3723,0.4969,1.6081,0.493,0.0897
167669029-0_613.mp4,143,0.2556,0.5394,3.0744,0.9394,0.1209
167669029-0_613.mp4,287,0.2707,0.5436,2.355,0.8088,0.1055
167669029-0_613.mp4,431,0.3016,0.5911,2.3794,0.8592,0.1222
167669029-0_613.mp4,575,0.1189,0.3024,1.8944,0.9701,0.1248
169431573-1045_2647.mp4,0,0.2946,0.4829,1.7753,0.75,0.1277
169431573-1045_2647.mp4,147,0.2378,0.1698,0.5172,0.2424,0.1261
169431573-1045_2647.mp4,295,0.277,0.2655,0.9254,0.359,0.1068
169431573-1045_2647.mp4,442,0.3944,0.5695,1.9421,0.6667,0.1171
169431573-1045_2647.mp4,590,0.1962,0.2168,0.7553,0.3115,0.1189
169610673-5189_6420.mp4,0,0.392,0.5524,2.6282,0.685,0.0997
169610673-5189_6420.mp4,147,0.3802,0.5077,2.1482,0.65,0.0826
169610673-5189_6420.mp4,295,0.3642,0.5025,1.798,0.7662,0.1191
169610673-5189_6420.mp4,442,0.3654,0.6559,3.377,0.8873,0.0948
169610673-5189_6420.mp4,590,0.4925,0.6814,2.6072,0.8431,0.1159
169629056-0_991.mp4,0,0.2947,0.66,3.8952,0.9822,0.1077
169629056-0_991.mp4,147,0.2211,0.3148,1.2301,0.5062,0.1326
169629056-0_991.mp4,295,0.3447,0.5721,2.4518,0.943,0.1251
169629056-0_991.mp4,442,0.4199,0.725,3.6795,0.9617,0.091
169629056-0_991.mp4,590,0.3558,0.562,2.2691,0.746,0.0912
169763925-0_420.mp4,0,0.3612,0.48,1.4699,0.5331,0.1182
169763925-0_420.mp4,121,0.2338,0.2579,0.8278,0.2256,0.1056
169763925-0_420.mp4,243,0.2529,0.2098,0.4965,0.2052,0.1099
169763925-0_420.mp4,364,0.2581,0.2764,0.8688,0.1571,0.0513
169763925-0_420.mp4,486,0.214,0.2327,0.8376,0.1567,0.0574
170666742-0_840.mp4,0,0.3809,0.6206,2.999,0.83,0.1164
170666742-0_840.mp4,147,0.3354,0.5864,3.1139,0.6757,0.0815
170666742-0_840.mp4,295,0.369,0.5738,2.1347,0.6667,0.1015
170666742-0_840.mp4,442,0.2238,0.2452,0.8114,0.3193,0.1191
170666742-0_840.mp4,590,0.2262,0.4301,2.4827,0.7117,0.077
170667841-0_540.mp4,0,0.3674,0.6076,2.9543,0.831,0.0999
170667841-0_540.mp4,147,0.3724,0.5358,2.1987,0.6027,0.0939
170667841-0_540.mp4,295,0.3059,0.4486,2.2493,0.6592,0.1105
170667841-0_540.mp4,442,0.2926,0.4188,2.2172,0.6343,0.0903
170667841-0_540.mp4,590,0.3258,0.4672,2.3485,0.6667,0.1134
170864056-0_905.mp4,0,0.4378,0.6208,2.6489,0.7308,0.0917
